filepaths,labels,label_num
train/balance beam/045.jpg,balance beam,27
train/balance beam/079.jpg,balance beam,27
train/balance beam/061.jpg,balance beam,27
train/balance beam/096.jpg,balance beam,27
train/balance beam/125.jpg,balance beam,27
train/balance beam/106.jpg,balance beam,27
train/balance beam/122.jpg,balance beam,27
train/balance beam/105.jpg,balance beam,27
train/balance beam/092.jpg,balance beam,27
train/balance beam/142.jpg,balance beam,27
train/balance beam/104.jpg,balance beam,27
train/balance beam/036.jpg,balance beam,27
train/balance beam/064.jpg,balance beam,27
train/balance beam/054.jpg,balance beam,27
train/balance beam/050.jpg,balance beam,27
train/balance beam/039.jpg,balance beam,27
train/balance beam/119.jpg,balance beam,27
train/balance beam/056.jpg,balance beam,27
train/balance beam/109.jpg,balance beam,27
train/balance beam/031.jpg,balance beam,27
train/balance beam/080.jpg,balance beam,27
train/balance beam/074.jpg,balance beam,27
train/balance beam/002.jpg,balance beam,27
train/balance beam/047.jpg,balance beam,27
train/balance beam/012.jpg,balance beam,27
train/balance beam/072.jpg,balance beam,27
train/balance beam/065.jpg,balance beam,27
train/balance beam/057.jpg,balance beam,27
train/balance beam/077.jpg,balance beam,27
train/balance beam/123.jpg,balance beam,27
train/baseball/088.jpg,baseball,3
train/baseball/039.jpg,baseball,3
train/baseball/103.jpg,baseball,3
train/baseball/144.jpg,baseball,3
train/baseball/003.jpg,baseball,3
train/baseball/013.jpg,baseball,3
train/baseball/174.jpg,baseball,3
train/baseball/155.jpg,baseball,3
train/baseball/056.jpg,baseball,3
train/baseball/160.jpg,baseball,3
train/baseball/017.jpg,baseball,3
train/baseball/020.jpg,baseball,3
train/baseball/065.jpg,baseball,3
train/baseball/041.jpg,baseball,3
train/baseball/051.jpg,baseball,3
train/baseball/128.jpg,baseball,3
train/baseball/159.jpg,baseball,3
train/baseball/164.jpg,baseball,3
train/baseball/054.jpg,baseball,3
train/baseball/148.jpg,baseball,3
train/baseball/084.jpg,baseball,3
train/baseball/077.jpg,baseball,3
train/baseball/069.jpg,baseball,3
train/baseball/043.jpg,baseball,3
train/baseball/100.jpg,baseball,3
train/baseball/170.jpg,baseball,3
train/baseball/107.jpg,baseball,3
train/baseball/049.jpg,baseball,3
train/baseball/004.jpg,baseball,3
train/baseball/118.jpg,baseball,3
train/basketball/099.jpg,basketball,5
train/basketball/109.jpg,basketball,5
train/basketball/154.jpg,basketball,5
train/basketball/151.jpg,basketball,5
train/basketball/019.jpg,basketball,5
train/basketball/134.jpg,basketball,5
train/basketball/024.jpg,basketball,5
train/basketball/130.jpg,basketball,5
train/basketball/097.jpg,basketball,5
train/basketball/026.jpg,basketball,5
train/basketball/044.jpg,basketball,5
train/basketball/104.jpg,basketball,5
train/basketball/147.jpg,basketball,5
train/basketball/088.jpg,basketball,5
train/basketball/125.jpg,basketball,5
train/basketball/009.jpg,basketball,5
train/basketball/035.jpg,basketball,5
train/basketball/029.jpg,basketball,5
train/basketball/114.jpg,basketball,5
train/basketball/129.jpg,basketball,5
train/basketball/010.jpg,basketball,5
train/basketball/008.jpg,basketball,5
train/basketball/156.jpg,basketball,5
train/basketball/148.jpg,basketball,5
train/basketball/058.jpg,basketball,5
train/basketball/046.jpg,basketball,5
train/basketball/142.jpg,basketball,5
train/basketball/096.jpg,basketball,5
train/basketball/161.jpg,basketball,5
train/basketball/123.jpg,basketball,5
train/billiards/109.jpg,billiards,29
train/billiards/093.jpg,billiards,29
train/billiards/003.jpg,billiards,29
train/billiards/030.jpg,billiards,29
train/billiards/034.jpg,billiards,29
train/billiards/028.jpg,billiards,29
train/billiards/088.jpg,billiards,29
train/billiards/035.jpg,billiards,29
train/billiards/072.jpg,billiards,29
train/billiards/082.jpg,billiards,29
train/billiards/063.jpg,billiards,29
train/billiards/078.jpg,billiards,29
train/billiards/069.jpg,billiards,29
train/billiards/073.jpg,billiards,29
train/billiards/126.jpg,billiards,29
train/billiards/054.jpg,billiards,29
train/billiards/036.jpg,billiards,29
train/billiards/065.jpg,billiards,29
train/billiards/062.jpg,billiards,29
train/billiards/143.jpg,billiards,29
train/billiards/068.jpg,billiards,29
train/billiards/029.jpg,billiards,29
train/billiards/052.jpg,billiards,29
train/billiards/027.jpg,billiards,29
train/billiards/064.jpg,billiards,29
train/billiards/122.jpg,billiards,29
train/billiards/004.jpg,billiards,29
train/billiards/091.jpg,billiards,29
train/billiards/008.jpg,billiards,29
train/billiards/102.jpg,billiards,29
train/bull riding/096.jpg,bull riding,24
train/bull riding/139.jpg,bull riding,24
train/bull riding/024.jpg,bull riding,24
train/bull riding/102.jpg,bull riding,24
train/bull riding/063.jpg,bull riding,24
train/bull riding/146.jpg,bull riding,24
train/bull riding/108.jpg,bull riding,24
train/bull riding/044.jpg,bull riding,24
train/bull riding/061.jpg,bull riding,24
train/bull riding/136.jpg,bull riding,24
train/bull riding/138.jpg,bull riding,24
train/bull riding/065.jpg,bull riding,24
train/bull riding/013.jpg,bull riding,24
train/bull riding/032.jpg,bull riding,24
train/bull riding/046.jpg,bull riding,24
train/bull riding/079.jpg,bull riding,24
train/bull riding/118.jpg,bull riding,24
train/bull riding/112.jpg,bull riding,24
train/bull riding/021.jpg,bull riding,24
train/bull riding/094.jpg,bull riding,24
train/bull riding/008.jpg,bull riding,24
train/bull riding/062.jpg,bull riding,24
train/bull riding/002.jpg,bull riding,24
train/bull riding/003.jpg,bull riding,24
train/bull riding/031.jpg,bull riding,24
train/bull riding/006.jpg,bull riding,24
train/bull riding/081.jpg,bull riding,24
train/bull riding/129.jpg,bull riding,24
train/bull riding/059.jpg,bull riding,24
train/bull riding/117.jpg,bull riding,24
train/canoe slamon/088.jpg,canoe slamon,8
train/canoe slamon/094.jpg,canoe slamon,8
train/canoe slamon/036.jpg,canoe slamon,8
train/canoe slamon/027.jpg,canoe slamon,8
train/canoe slamon/004.jpg,canoe slamon,8
train/canoe slamon/047.jpg,canoe slamon,8
train/canoe slamon/163.jpg,canoe slamon,8
train/canoe slamon/049.jpg,canoe slamon,8
train/canoe slamon/058.jpg,canoe slamon,8
train/canoe slamon/007.jpg,canoe slamon,8
train/canoe slamon/013.jpg,canoe slamon,8
train/canoe slamon/080.jpg,canoe slamon,8
train/canoe slamon/035.jpg,canoe slamon,8
train/canoe slamon/150.jpg,canoe slamon,8
train/canoe slamon/016.jpg,canoe slamon,8
train/canoe slamon/143.jpg,canoe slamon,8
train/canoe slamon/085.jpg,canoe slamon,8
train/canoe slamon/034.jpg,canoe slamon,8
train/canoe slamon/078.jpg,canoe slamon,8
train/canoe slamon/006.jpg,canoe slamon,8
train/canoe slamon/149.jpg,canoe slamon,8
train/canoe slamon/114.jpg,canoe slamon,8
train/canoe slamon/031.jpg,canoe slamon,8
train/canoe slamon/009.jpg,canoe slamon,8
train/canoe slamon/133.jpg,canoe slamon,8
train/canoe slamon/145.jpg,canoe slamon,8
train/canoe slamon/081.jpg,canoe slamon,8
